##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	19_3F_fox_S14_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	16348255
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.513544044914884	32.0	32.0	32.0	27.0	32.0
2	31.192652365650034	32.0	32.0	32.0	32.0	32.0
3	34.50709662896743	37.0	32.0	37.0	32.0	37.0
4	35.51455430564302	37.0	37.0	37.0	32.0	37.0
5	35.70864437825321	37.0	37.0	37.0	32.0	37.0
6	39.01087999911917	41.0	41.0	41.0	37.0	41.0
7	38.941846759791794	41.0	41.0	41.0	37.0	41.0
8	39.13337319487615	41.0	41.0	41.0	37.0	41.0
9	39.297744499336474	41.0	41.0	41.0	37.0	41.0
10-11	39.31615407882982	41.0	41.0	41.0	37.0	41.0
12-13	39.30185322531365	41.0	41.0	41.0	37.0	41.0
14-15	39.25960486302667	41.0	41.0	41.0	37.0	41.0
16-17	39.02453463687715	41.0	41.0	41.0	37.0	41.0
18-19	39.12383985324428	41.0	41.0	41.0	37.0	41.0
20-21	39.057959182799635	41.0	41.0	41.0	37.0	41.0
22-23	39.07946829799266	41.0	41.0	41.0	37.0	41.0
24-25	39.15728033358912	41.0	41.0	41.0	37.0	41.0
26-27	39.159820115357874	41.0	41.0	41.0	37.0	41.0
28-29	39.16509098371661	41.0	41.0	41.0	37.0	41.0
30-31	39.05446465081442	41.0	41.0	41.0	37.0	41.0
32-33	38.600767360186154	41.0	41.0	41.0	32.0	41.0
34-35	38.328711412930616	41.0	41.0	41.0	32.0	41.0
36-37	38.17628499188446	41.0	41.0	41.0	32.0	41.0
38-39	38.15841748859435	41.0	41.0	41.0	32.0	41.0
40-41	38.57517092802871	41.0	41.0	41.0	32.0	41.0
42-43	38.82187175328498	41.0	41.0	41.0	32.0	41.0
44-45	38.97080633376467	41.0	41.0	41.0	37.0	41.0
46-47	38.971965845896094	41.0	41.0	41.0	37.0	41.0
48-49	38.945071232373124	41.0	41.0	41.0	37.0	41.0
50-51	38.956544138808695	41.0	41.0	41.0	34.5	41.0
52-53	39.024196252138225	41.0	41.0	41.0	37.0	41.0
54-55	38.83094272140971	41.0	41.0	41.0	32.0	41.0
56-57	38.94685139178463	41.0	41.0	41.0	34.5	41.0
58-59	38.87182112096979	41.0	41.0	41.0	32.0	41.0
60-61	38.788725585697065	41.0	41.0	41.0	32.0	41.0
62-63	38.846356782421125	41.0	41.0	41.0	32.0	41.0
64-65	38.794335389312195	41.0	41.0	41.0	32.0	41.0
66-67	38.77006307401004	41.0	41.0	41.0	32.0	41.0
68-69	38.695601732417316	41.0	41.0	41.0	32.0	41.0
70-71	38.73482029121762	41.0	41.0	41.0	32.0	41.0
72-73	38.65519313835024	41.0	41.0	41.0	32.0	41.0
74-75	38.6355391446977	41.0	41.0	41.0	32.0	41.0
76-77	38.066788596091754	41.0	39.0	41.0	32.0	41.0
78-79	38.1995371983126	41.0	39.0	41.0	32.0	41.0
80-81	38.5692005966386	41.0	41.0	41.0	32.0	41.0
82-83	38.65757018103767	41.0	41.0	41.0	32.0	41.0
84-85	38.552010933276975	41.0	41.0	41.0	32.0	41.0
86-87	38.489789430125725	41.0	41.0	41.0	32.0	41.0
88-89	38.47331283981073	41.0	41.0	41.0	32.0	41.0
90-91	38.393617850957185	41.0	41.0	41.0	32.0	41.0
92-93	38.291879592042086	41.0	41.0	41.0	32.0	41.0
94-95	38.158654211106935	41.0	39.0	41.0	32.0	41.0
96-97	38.10451115424857	41.0	37.0	41.0	32.0	41.0
98-99	37.936256866558544	41.0	37.0	41.0	29.5	41.0
100-101	36.96012956734526	41.0	37.0	41.0	24.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.43656391822478113
1101	2	-0.5878146527080865
1101	3	-1.096342806096473
1101	4	-1.0123105007501465
1101	5	-0.8642615143725934
1101	6	-1.2526564394611839
1101	7	-0.5520874630188217
1101	8	-0.3354701463069887
1101	9	-0.133801085422391
1101	10-11	-0.10325926259192642
1101	12-13	-0.19877713405489317
1101	14-15	-0.14819170447916719
1101	16-17	-0.04138131116486221
1101	18-19	-0.09126386746221726
1101	20-21	-0.04437194151948631
1101	22-23	-0.09541886092812746
1101	24-25	-0.09844412526805968
1101	26-27	-0.07100373304019314
1101	28-29	-0.07783266785298792
1101	30-31	-0.035588140572023974
1101	32-33	0.15087588367786964
1101	34-35	-0.026141392078827153
1101	36-37	0.04297862873934122
1101	38-39	-0.0866629870508362
1101	40-41	-0.25805071791589995
1101	42-43	-0.18018095239671794
1101	44-45	-0.13652907397268876
1101	46-47	-0.05800512899482868
1101	48-49	-0.027559768678770524
1101	50-51	-0.03901482855397376
1101	52-53	-0.12439060567722038
1101	54-55	-0.01669858788500278
1101	56-57	-0.17182710173469928
1101	58-59	-0.13650227561758754
1101	60-61	-0.005837477098040722
1101	62-63	-0.1533465805468026
1101	64-65	-0.20329292937538668
1101	66-67	-0.1547830284304652
1101	68-69	-0.1472431653180024
1101	70-71	-0.2314553417978047
1101	72-73	-0.18953399304738383
1101	74-75	-0.20472271770977812
1101	76-77	-0.2864221736072423
1101	78-79	-0.06076319436261457
1101	80-81	-0.17797442289821674
1101	82-83	-0.2088760859815011
1101	84-85	-0.14258477602807318
1101	86-87	-0.1770780827359033
1101	88-89	-0.2705895402489489
1101	90-91	-0.22892112647011942
1101	92-93	-0.27405914609465043
1101	94-95	-0.2083902566458633
1101	96-97	-0.20900035128565975
1101	98-99	-0.17052371052468374
1101	100-101	-0.303704748503435
1102	1	-0.5116335267852214
1102	2	-0.6032605332221834
1102	3	-1.225259917557068
1102	4	-1.046479132164265
1102	5	-0.9905752106351073
1102	6	-1.33058461449005
1102	7	-1.158133186353119
1102	8	-0.6709251235750884
1102	9	-0.4524979988658018
1102	10-11	-0.23526561285633107
1102	12-13	-0.18658155263617715
1102	14-15	-0.22025222701444136
1102	16-17	-0.1966037935884941
1102	18-19	-0.15351052232901452
1102	20-21	-0.1347861452560295
1102	22-23	-0.16787923703101626
1102	24-25	-0.15766106083609088
1102	26-27	-0.08876474116452471
1102	28-29	-0.086964998871359
1102	30-31	-0.13539896004297702
1102	32-33	0.05211988313408966
1102	34-35	-0.05725383276077167
1102	36-37	-0.09988650600719495
1102	38-39	-0.1722742407564084
1102	40-41	-0.2901886264901279
1102	42-43	-0.24845529593233806
1102	44-45	-0.21747783021010747
1102	46-47	-0.14630399373051972
1102	48-49	-0.12494695761969865
1102	50-51	-0.08240807060300881
1102	52-53	-0.25234508029230796
1102	54-55	-0.005037279367144265
1102	56-57	-0.1732527366996024
1102	58-59	-0.1815048340506138
1102	60-61	-0.10803164751201422
1102	62-63	-0.17296949255124616
1102	64-65	-0.12302235644569492
1102	66-67	-0.04984303955779268
1102	68-69	-0.06575838287398028
1102	70-71	-0.14362493249078767
1102	72-73	-0.17331051562854327
1102	74-75	-0.1472494272908662
1102	76-77	-0.4988060321961356
1102	78-79	-0.14551191220844117
1102	80-81	-0.10589293732852667
1102	82-83	-0.23839880318089968
1102	84-85	-0.09356470441609588
1102	86-87	-0.1288288827658377
1102	88-89	-0.20407312143468914
1102	90-91	-0.20181111589315748
1102	92-93	-0.2531135750680491
1102	94-95	-0.1908775537715499
1102	96-97	-0.28082638601355825
1102	98-99	-0.23291513735654235
1102	100-101	-0.2283818929252419
1103	1	-0.6115098069768266
1103	2	-0.5457244756198172
1103	3	-1.1793439887561163
1103	4	-1.067578479964844
1103	5	-1.0354620429673673
1103	6	-1.0831983025847407
1103	7	-1.0906738068694963
1103	8	-0.969607538438531
1103	9	-0.5408396520141707
1103	10-11	-0.32440257667221317
