##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	7_2E_fox_S6_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5278425
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	14-15	-0.1608349030085776
1103	16-17	-0.11296750743119333
1103	18-19	-0.11639381657512615
1103	20-21	-0.04378938241393371
1103	22-23	-0.31275862431634494
1103	24-25	-0.042420112710644275
1103	26-27	-0.1277333655652697
1103	28-29	-0.20933554418386535
1103	30-31	-0.22962323420070874
1103	32-33	-0.10772986064507961
1103	34-35	-0.08452168916306135
1103	36-37	-0.1969332840545377
1103	38-39	-0.5328397232245692
1103	40-41	-0.4907272410171757
1103	42-43	-0.3389485509224528
1103	44-45	-0.12045602155605906
1103	46-47	-0.22506956196586003
1103	48-49	-0.1104078583641126
1103	50-51	0.10213145166172666
1103	52-53	-0.10616751705419603
1103	54-55	-0.0888298797047753
1103	56-57	-0.16054354830053796
1103	58-59	-0.25489935348549864
1103	60-61	0.002022646723155219
1103	62-63	-0.07652899397240986
1103	64-65	-0.19409752406532021
1103	66-67	-0.16781552309006997
1103	68-69	-0.10460793723193973
1103	70-71	-0.1712071916754141
1103	72-73	-0.15684132185683097
1103	74-75	-0.31048788216219947
1103	76-77	-0.2365271185965767
1103	78-79	-0.10070881127235509
1103	80-81	-0.22980225975810953
1103	82-83	-0.13326662106555176
1103	84-85	-0.2925499354817518
1103	86-87	-0.2602437991486539
1103	88-89	-0.3813527757513171
1103	90-91	-0.3172130487788607
1103	92-93	-0.278497395843992
1103	94-95	-0.3245064707770595
1103	96-97	-0.3458102705937378
1103	98-99	-0.3113652437773027
1103	100-101	-0.5506469919523411
1104	1	-0.585215450481833
1104	2	-0.6679975695457117
1104	3	-1.4963577139199593
1104	4	-1.3716705502840938
1104	5	-1.219593280691349
1104	6	-1.4692576748074941
1104	7	-1.4248335102122027
1104	8	-1.7439938510487565
1104	9	-1.1599747634252893
1104	10-11	-0.8080982279756981
1104	12-13	-0.3203193076365949
1104	14-15	-0.2832992193008863
1104	16-17	-0.20849930599403876
1104	18-19	-0.22253641182410888
1104	20-21	-0.1756003812087954
1104	22-23	-0.2947400677735317
1104	24-25	-0.12995391099610032
1104	26-27	-0.0771937235391249
1104	28-29	-0.32918466055465245
1104	30-31	-0.2170118692173233
1104	32-33	-0.0789378697193257
1104	34-35	-0.28615838343214506
1104	36-37	-0.2511276897806667
1104	38-39	-0.46742914716309514
1104	40-41	-0.47521835238189425
1104	42-43	-0.32254110459066965
1104	44-45	-0.1345896112878293
1104	46-47	-0.027742099019569366
1104	48-49	-0.058146767087421836
1104	50-51	-0.1692877193613853
1104	52-53	-0.11008257228424867
1104	54-55	0.0805029354193465
1104	56-57	-0.2648252460493694
1104	58-59	-0.23179006789672485
1104	60-61	-0.16468744637469257
1104	62-63	-0.19285981275663033
1104	64-65	-0.30514600042517515
1104	66-67	-0.15956439731139938
1104	68-69	-0.11696101361254563
1104	70-71	-0.1502368989150895
1104	72-73	-0.0398961385053056
1104	74-75	-0.09565438951454297
1104	76-77	-0.09186738567847641
1104	78-79	0.09587409683209103
1104	80-81	-0.067520238336229
1104	82-83	-0.2402076276460079
1104	84-85	-0.21937636927948745
1104	86-87	-0.09005230683606413
1104	88-89	-0.21366739058662176
1104	90-91	-0.2760052230837431
1104	92-93	-0.3063637672999491
1104	94-95	-0.41657560862278586
1104	96-97	-0.40414597331589164
1104	98-99	-0.08444034607347106
1104	100-101	-0.209831508558743
1105	1	-0.27577506641031135
1105	2	-0.5887133820117754
1105	3	-1.0959869715992454
1105	4	-1.162701850453523
1105	5	-0.8661206378531148
1105	6	-1.4318260011858328
1105	7	-1.3252501877259135
1105	8	-1.3359515316751356
1105	9	-1.0003775555386838
1105	10-11	-1.1219402830575973
1105	12-13	-0.24211448607616148
1105	14-15	-0.306115282971156
1105	16-17	-0.06962511182571518
1105	18-19	-0.09478708612520137
1105	20-21	-0.11679193922658726
1105	22-23	-0.14625988738771412
1105	24-25	-0.04123506129862875
1105	26-27	-0.13910407936628388
1105	28-29	-0.10639928550268252
1105	30-31	-0.012197239044937191
1105	32-33	0.14731594558939065
1105	34-35	-0.019697013907681082
1105	36-37	-0.046245089738569334
1105	38-39	-0.22372637789290906
1105	40-41	-0.2364064150602445
1105	42-43	-0.26386638111031147
1105	44-45	-0.18761488355158207
1105	46-47	-0.1352972654537936
1105	48-49	-0.024057656189299337
1105	50-51	-0.03485473423221919
1105	52-53	-0.04283593752580117
1105	54-55	0.006898074747354599
1105	56-57	-0.16807189129204403
1105	58-59	-0.21329157918233932
1105	60-61	0.014665870514967594
1105	62-63	-0.23630122232911077
1105	64-65	-0.2780774440598961
1105	66-67	-0.16065584681729206
1105	68-69	0.03878770026869205
1105	70-71	-0.12416243521291648
1105	72-73	-0.08844537272477027
1105	74-75	-0.2446579601095138
1105	76-77	-0.21187027861829222
1105	78-79	-0.2865048654892348
1105	80-81	-0.3272185391872213
1105	82-83	-0.286012345145906
1105	84-85	-0.2627906575412169
1105	86-87	-0.20499028943880404
1105	88-89	-0.34783564862192407
1105	90-91	-0.3395336394204307
1105	92-93	-0.13400250646508738
1105	94-95	-0.2643582848711006
1105	96-97	-0.3954460743288948
1105	98-99	-0.32052660277017253
1105	100-101	-0.31905589060378503
1106	1	-0.5548252317364266
1106	2	-0.5748080432297868
1106	3	-0.7165564345541888
1106	4	-0.9830612905344083
1106	5	-0.7413757317048209
1106	6	-0.9449963879605932
1106	7	-0.9257142126983382
1106	8	-1.0065198090455638
1106	9	-1.133496927296349
1106	10-11	-0.9997408290623184
1106	12-13	-0.5657261809643757
1106	14-15	-0.501671796119858
1106	16-17	-0.2957360365255539
1106	18-19	-0.08076321097003358
1106	20-21	-0.06484889868053045
1106	22-23	-0.004741609758973198
1106	24-25	-0.04228265878558091
1106	26-27	-0.16674641276085111
1106	28-29	-0.21324756163851788
1106	30-31	-0.2403747457293619
1106	32-33	-0.08639561348868341
1106	34-35	-0.28860537581979173
1106	36-37	-0.16207334062344358
1106	38-39	-0.38749657549518446
1106	40-41	-0.3181295060561311
1106	42-43	-0.24027558960040096
1106	44-45	-0.2912293620244313
1106	46-47	-0.186784441028081
1106	48-49	-0.1346326637940365
1106	50-51	0.030342677510951432
1106	52-53	-0.10148532406640243
1106	54-55	-0.026063095439127437
1106	56-57	-0.15126255487363238
1106	58-59	-0.012821933170499733
1106	60-61	0.034961951369986366
1106	62-63	-0.135221510294123
1106	64-65	-0.006106962420709294
1106	66-67	0.05712236162719364
1106	68-69	-0.041650168545793065
1106	70-71	-0.019341861837752106
1106	72-73	9.767760339016718E-4
1106	74-75	-0.14605927684572606
1106	76-77	-0.223519849686177
1106	78-79	0.015867866649870166
1106	80-81	-0.019431726092697943
1106	82-83	-0.1552086826656094
1106	84-85	-0.1405389009443212
1106	86-87	-0.12928334438187505
1106	88-89	-0.22686661940103647
1106	90-91	-0.2547739507774409
1106	92-93	-0.4356555865981946
1106	94-95	-0.3107098924994105
1106	96-97	-0.20489504599880348
1106	98-99	-0.13668167757746374
1106	100-101	-0.05282995228429854
1107	1	-0.6659948976749988
1107	2	-0.5035093328434783
1107	3	-1.0439916894308467
1107	4	-1.028614362577315
1107	5	-0.8689097732289639
1107	6	-0.9197308934924848
1107	7	-0.9161213988573849
1107	8	-1.0045624476374329
1107	9	-0.7822011083936715
1107	10-11	-0.9352216457043099
1107	12-13	-0.9822719980042081
1107	14-15	-0.9044061324108839
1107	16-17	-0.3488289347728184
1107	18-19	-0.09573858668090196
1107	20-21	0.0157906699197099
1107	22-23	-0.16393797515719655
1107	24-25	0.05355105247048897
1107	26-27	-0.0690524009326694
1107	28-29	-0.12989058939873388
1107	30-31	-0.28346817242610456
1107	32-33	0.08060137691880698
1107	34-35	0.088995235776963
1107	36-37	-0.17489382873774417
1107	38-39	-0.23857103659448597
1107	40-41	-0.17475977394575182
1107	42-43	-0.24778471092083976
1107	44-45	-0.29604191363283405
1107	46-47	-0.26737638922256224
1107	48-49	-0.1527601292313392
1107	50-51	-0.08715540632442753
1107	52-53	-0.0794505443831568
1107	54-55	0.09553710949991512
1107	56-57	-0.24199593652969043
1107	58-59	-0.11843667021292958
1107	60-61	-0.04709819988304531
1107	62-63	-0.15898370734890221
1107	64-65	-0.25230435311367927
1107	66-67	-0.07012867679314638
1107	68-69	-0.05371057160456161
1107	70-71	-0.3082411598393122
1107	72-73	-0.2057403862489906
1107	74-75	-0.2522018638174117
1107	76-77	-0.2884181120295679
1107	78-79	-0.015283651289109912
1107	80-81	-0.22650661954418183
1107	82-83	-0.3544750714723435
1107	84-85	-0.15608094663643612
1107	86-87	-0.19920333267890555
1107	88-89	-0.19364631173039015
1107	90-91	-0.37178769397515055
